datetime,temp,temp_min,temp_max,humidity,wind_speed,wind_deg,pressure,description,main_weather,feels_like,uv_index,visibility,rain_prob
2025-05-07 17:30:00,15.17,14.8,15.17,80,3.2,226,1016,broken clouds,Clouds,14.83,5,10000,0.0
2025-05-07 20:30:00,16.13,16.13,18.04,73,3.21,221,1016,broken clouds,Clouds,15.7,5,10000,0.0
2025-05-07 23:30:00,19.5,19.5,21.67,57,4.23,189,1015,broken clouds,Clouds,18.99,5,10000,0.0
2025-05-08 02:30:00,20.06,20.06,20.06,47,3.4,248,1014,overcast clouds,Clouds,19.35,5,10000,0.0
2025-05-08 05:30:00,18.43,18.43,18.43,57,3.9,258,1015,overcast clouds,Clouds,17.82,5,10000,0.0
2025-05-08 08:30:00,18.17,18.17,18.17,65,2.97,281,1016,overcast clouds,Clouds,17.74,5,10000,0.0
2025-05-08 11:30:00,16.58,16.58,16.58,75,2.1,328,1015,broken clouds,Clouds,16.25,5,10000,0.0
2025-05-08 14:30:00,15.45,15.45,15.45,79,2.3,319,1017,broken clouds,Clouds,15.11,5,10000,0.0
2025-05-08 17:30:00,16.9,16.9,16.9,66,2.18,330,1018,broken clouds,Clouds,16.37,5,10000,0.0
2025-05-08 20:30:00,20.74,20.74,20.74,52,1.33,306,1018,broken clouds,Clouds,20.23,5,10000,0.0
2025-05-08 23:30:00,22.4,22.4,22.4,47,2.24,193,1016,broken clouds,Clouds,21.92,5,10000,0.0
2025-05-09 02:30:00,20.91,20.91,20.91,53,5.13,165,1016,overcast clouds,Clouds,20.44,5,10000,28.000000000000004
2025-05-09 05:30:00,17.0,17.0,17.0,81,3.93,157,1017,light rain,Rain,16.87,5,10000,82.0
2025-05-09 08:30:00,16.44,16.44,16.44,82,2.27,155,1017,light rain,Rain,16.28,5,10000,100.0
2025-05-09 11:30:00,16.12,16.12,16.12,82,1.23,166,1016,light rain,Rain,15.93,5,10000,100.0
2025-05-09 14:30:00,14.91,14.91,14.91,91,4.02,167,1015,moderate rain,Rain,14.83,5,10000,100.0
2025-05-09 17:30:00,14.11,14.11,14.11,96,4.38,159,1015,light rain,Rain,14.08,5,2847,100.0
2025-05-09 20:30:00,13.59,13.59,13.59,93,1.55,334,1016,moderate rain,Rain,13.43,5,9429,100.0
2025-05-09 23:30:00,12.35,12.35,12.35,84,4.36,3,1016,light rain,Rain,11.83,5,10000,100.0
2025-05-10 02:30:00,17.17,17.17,17.17,60,5.38,335,1015,broken clouds,Clouds,16.51,5,10000,0.0
2025-05-10 05:30:00,14.07,14.07,14.07,68,5.49,334,1018,broken clouds,Clouds,13.31,5,10000,0.0
2025-05-10 08:30:00,12.05,12.05,12.05,69,5.1,325,1019,few clouds,Clouds,11.11,5,10000,0.0
2025-05-10 11:30:00,10.34,10.34,10.34,67,5.28,312,1019,clear sky,Clear,9.18,5,10000,0.0
2025-05-10 14:30:00,9.8,9.8,9.8,67,5.64,313,1021,broken clouds,Clouds,7.11,5,10000,0.0
2025-05-10 17:30:00,11.4,11.4,11.4,60,7.0,335,1022,broken clouds,Clouds,10.16,5,10000,0.0
2025-05-10 20:30:00,16.83,16.83,16.83,46,5.0,357,1022,broken clouds,Clouds,15.77,5,10000,0.0
2025-05-10 23:30:00,20.43,20.43,20.43,35,2.61,345,1021,broken clouds,Clouds,19.44,5,10000,0.0
2025-05-11 02:30:00,21.14,21.14,21.14,35,1.35,22,1022,overcast clouds,Clouds,20.22,5,10000,0.0
2025-05-11 05:30:00,18.74,18.74,18.74,46,2.67,152,1024,overcast clouds,Clouds,17.87,5,10000,0.0
2025-05-11 08:30:00,17.09,17.09,17.09,56,2.0,189,1025,overcast clouds,Clouds,16.32,5,10000,0.0
2025-05-11 11:30:00,16.04,16.04,16.04,60,0.59,220,1026,overcast clouds,Clouds,15.27,5,10000,0.0
2025-05-11 14:30:00,15.22,15.22,15.22,60,1.44,22,1026,overcast clouds,Clouds,14.36,5,10000,0.0
2025-05-11 17:30:00,16.33,16.33,16.33,55,2.78,32,1028,overcast clouds,Clouds,15.45,5,10000,0.0
2025-05-11 20:30:00,20.69,20.69,20.69,41,1.38,88,1028,overcast clouds,Clouds,19.89,5,10000,0.0
2025-05-11 23:30:00,21.85,21.85,21.85,39,3.06,170,1028,overcast clouds,Clouds,21.11,5,10000,0.0
2025-05-12 02:30:00,20.77,20.77,20.77,43,5.23,174,1027,overcast clouds,Clouds,20.03,5,10000,0.0
2025-05-12 05:30:00,17.35,17.35,17.35,56,5.07,164,1028,broken clouds,Clouds,16.6,5,10000,0.0
2025-05-12 08:30:00,16.54,16.54,16.54,57,3.07,207,1028,broken clouds,Clouds,15.74,5,10000,0.0
2025-05-12 11:30:00,15.47,15.47,15.47,59,2.71,213,1028,overcast clouds,Clouds,14.61,5,10000,0.0
2025-05-12 14:30:00,14.35,14.35,14.35,65,3.07,230,1027,overcast clouds,Clouds,13.54,5,10000,0.0
